"x","y"
"1704067200000","0"
"1714020063608","0"
"1714106463608","26.99"
"1714624968608","26.99"
"1714711368608","29.99"
"1717834686345","29.99"
"1717921086345","25.49"
"1718426762400","25.49"
"1718513162400","29.99"
"1719462471418","29.99"
"1719548871418","23.99"
"1720658592780","23.99"
"1720744992780","29.99"
"1721003993275","29.99"
"1721090393275","23.99"
"1722213661137","23.99"
"1722300061137","29.99"
"1724806006687","29.99"
"1724892406687","23.99"
"1726014996157","23.99"
"1726101396157","29.99"
"1726358400000","29.99"